"ตารางราคาแฟลชไดร์ฟ
อัพเดท 26/9/67
,,,,64 GB.,ถามจัดซื้อ,ถามจัดซื้อ,ถามจัดซื้อ,,,,,,,,,,
,,,,,,,,,,,,,,,,,
18,UM-06,,"รหัสแฟลชไดรฟ์ : UM-06
จำนวนการผลิตขึ้นต่ำ: 100 ชิ้น
ฟรี : ออกแบบ
ผลิต: 7-15 วัน
รับประกันชิป : 5 ปี
วัสดุ: โลหะ
ขนาด: 95 x 17 x 45  mm.
สี : ตามแบบ
โลโก้ : Silk Screen / Printing / Laser
ความเร็ว : อ่าน 10-22MB / เขียน 3-10MB
ความจุ : 2 GB / 4 GB / 8 GB / 16 GB / 32 GB",8 GB.,100,95,ถามจัดซื้อ,FREE,18,NO,NO,NO,"H สูงไม่เกิน 17 mm.
W กว้างไม่เกิน 31 mm.","H สูงไม่เกิน 17 mm.
W กว้างไม่เกิน 30 mm.","H สูงไม่เกิน 17 mm.
W กว้างไม่เกิน 31 mm.",NO,"จุดที่ 2 จุดฝาแฟลชไดร์ฟ 
LOGO สกรีน // LOGO เลเซอร์ 
H สูงไม่เกิน 17 mm. 
W กว้างไม่เกิน 10 mm. 
"
,,,,16 GB .,105,100,ถามจัดซื้อ,,,,,,,,,,
,,,,32 GB.,125,120,ถามจัดซื้อ,,,,,,,,,,
,,,,64 GB.,ถามจัดซื้อ,ถามจัดซื้อ,ถามจัดซื้อ,,,,,,,,,,
,,,,,,,,,,,,,,,,,
19,UM-08,,"รหัสแฟลชไดรฟ์ : UM-08
จำนวนการผลิตขึ้นต่ำ: 100 ชิ้น 
ผลิต: 2-5 วัน (Laser Logo) || 3-7 วัน (Silk Screen Logo)
รับประกันชิป : 5 ปี
วัสดุ: โลหะ
ขนาด: 55 x 12 x 6  mm.
สี : ตามแบบ
โลโก้ : Silk Screen / Printing / Laser
ความเร็ว : อ่าน 10-22MB / เขียน 3-10MB
ความจุ : 2 GB / 4 GB / 8 GB / 16 GB / 32 GB",8 GB.,95,90,ถามจัดซื้อ,FREE,18,NO,NO,NO,"H สูงไม่เกิน 10 mm.
W กว้างไม่เกิน 47 mm.","H สูงไม่เกิน 10 mm.
W กว้างไม่เกิน 30 mm.","H สูงไม่เกิน 10 mm.
W กว้างไม่เกิน 47 mm.",NO,"จุดที่ 2 ด้านหลัง 
ด้านที่เป็นที่หนีบ 
LOGO สกรีน 
H สูงไม่เกิน 6 mm. 
W กว้างไม่เกิน 32 mm. 
LOGO เลเซอร์ 
H สูงไม่เกิน 6 mm. 
W กว้างไม่เกิน "
,,,,16 GB .,100,95,ถามจัดซื้อ,,,,,,,,,,
,,,,32 GB.,125,120,ถามจัดซื้อ,,,,,,,,,,
